"Data Provider","The Paleobiology Database"
"Data Source","The Paleobiology Database"
"Data License","Creative Commons CC-BY"
"License URL","http://creativecommons.org/licenses/by/4.0/"
"Documentation URL","http://paleobiodb.org/data1.2/occs/list_doc.html"
"Data URL","http://paleobiodb.org/data1.2/occs/list.csv?datainfo&rowcount&base_name=Dinosauria&taxon_reso=species&idqual=certain&pres=regular&interval=Triassic,Cretaceous&show=acconly"
"Access Time","Wed 2019-06-12 10:22:05 GMT"
"Title","PBDB Data Service"
"Parameters:"
"","base_name","Dinosauria"
"","idreso","species"
"","idqual","certain"
"","interval","Triassic,Cretaceous"
"","timerule","major"
"","taxon_status","all"
"","pres","regular"
"","show","acconly"
"Elapsed Time","0.428"
"Records Found","3189"
"Records Returned","3189"
"Records:"
"occurrence_no","record_type","reid_no","flags","collection_no","accepted_name","accepted_rank","accepted_no","early_interval","late_interval","max_ma","min_ma","reference_no"
"150849","occ","","","13409","Dilophosaurus wetherilli","species","55479","Sinemurian","Pliensbachian","199.3","182.7","13844"
"150850","occ","","","13410","Dilophosaurus wetherilli","species","55479","Sinemurian","Pliensbachian","199.3","182.7","13844"
"150851","occ","18326","","13411","Graciliceratops mongoliensis","species","67674","Cenomanian","Santonian","100.5","83.6","14425"
"154975","occ","22652","","13777","Bagaceratops rozhdestvenskyi","species","52826","Middle Campanian","","83.5","70.6","6048"
"154986","occ","","","13776","Gobipteryx minuta","species","57334","Campanian","","83.6","72.1","9759"
"219965","occ","30389","","22645","Iguanodon bernissartensis","species","58905","Barremian","Early Aptian","129.4","122.46","19188"
"219971","occ","","","22648","Diplodocus longus","species","52920","Kimmeridgian","Tithonian","157.3","145","13100"
"219973","occ","12664","","22648","Stegosaurus stenops","species","56491","Kimmeridgian","Tithonian","157.3","145","58803"
"219974","occ","12665","","22648","Brontosaurus excelsus","species","52982","Kimmeridgian","Tithonian","157.3","145","13281"
"219975","occ","","","22648","Allosaurus fragilis","species","52962","Kimmeridgian","Tithonian","157.3","145","13098"
"219980","occ","18816","","22650","Camarasaurus lentus","species","63764","Late Kimmeridgian","","155.7","150.8","19566"
"219990","occ","18103","","22652","Prosaurolophus blackfeetensis","species","57631","Campanian","","83.6","72.1","17718"
"219992","occ","","","22653","Maiasaura peeblesorum","species","55574","Campanian","","83.6","72.1","5724"
"219993","occ","12168","","22653","Orodromeus makelai","species","64338","Campanian","","83.6","72.1","7404"
"219998","occ","","","22654","Tyrannosaurus rex","species","54833","Late Campanian","","83.5","70.6","5922"
"220009","occ","","","22657","Tyrannosaurus rex","species","54833","Late Campanian","","83.5","70.6","5721"
"220010","occ","13659","","22657","Centrosaurus apertus","species","63911","Late Campanian","","83.5","70.6","14847"
"220028","occ","","","22659","Gorgosaurus libratus","species","53194","Late Campanian","","83.5","70.6","5924"
"220033","occ","","","22663","Coelophysis rhodesiensis","species","55541","Hettangian","Sinemurian","201.3","190.8","5925"
"220038","occ","13231","","22665","Kotasaurus yamanpalliensis","species","66498","Sinemurian","Pliensbachian","199.3","182.7","43786"
"220070","occ","35572","","22680","Plateosaurus engelhardti","species","56683","Norian","","228","208.5","66921"
"220082","occ","","","22683","Plateosaurus longiceps","species","64684","Norian","","228","208.5","26308"
"220090","occ","","","22685","Velociraptor mongoliensis","species","54554","Late Campanian","","83.5","70.6","63431"
"220091","occ","","","22685","Protoceratops andrewsi","species","52824","Late Campanian","","83.5","70.6","63431"
"220095","occ","","","22687","Hypsilophodon foxii","species","54190","Late Hauterivian","Early Aptian","136.4","122.46","5672"
"220096","occ","","","22689","Prosaurolophus blackfeetensis","species","57631","Late Santonian","Early Campanian","85.8","70.6","5724"
"220099","occ","","","22689","Troodon formosus","species","54818","Late Santonian","Early Campanian","85.8","70.6","5724"
"220100","occ","33242","","22689","Daspletosaurus horneri","species","351539","Late Santonian","Early Campanian","85.8","70.6","62031"
"220109","occ","","","22691","Maiasaura peeblesorum","species","55574","Campanian","","83.6","72.1","5724"
"220124","occ","23117","","22699","Pachyrhinosaurus lakustai","species","167138","Late Campanian","","83.5","70.6","32668"
"220190","occ","35569","","22713","Convolosaurus marri","species","382687","Aptian","","125","113","68145"
"220226","occ","23105","","22727","Iguanodon bernissartensis","species","58905","Aptian","","125","113","5691"
"221280","occ","18488","","22655","Styracosaurus albertensis","species","56144","Late Campanian","","83.5","70.6","18896"
"221281","occ","","","22659","Centrosaurus apertus","species","63911","Late Campanian","","83.5","70.6","18556"
"225582","occ","30574","","21852","Diplodocus longus","species","52920","Early Tithonian","","150.8","145","14579"
"225584","occ","13532","","21852","Camarasaurus lentus","species","63764","Early Tithonian","","150.8","145","14579"
"229313","occ","12169","","22690","Hypacrosaurus stebingeri","species","64339","Campanian","","83.6","72.1","12559"
"229314","occ","","","22692","Prosaurolophus blackfeetensis","species","57631","Late Campanian","","83.5","70.6","5697"
"229315","occ","10640","","22693","Einiosaurus procurvicornis","species","53954","Campanian","","83.6","72.1","14725"
"229317","occ","10641","","22694","Einiosaurus procurvicornis","species","53954","Campanian","","83.6","72.1","8729"
"229333","occ","19702","","22706","Chindesaurus bryansmalli","species","66909","Norian","","228","208.5","14122"
"229342","occ","","","22709","Agujaceratops mariscalensis","species","52772","Late Campanian","","83.5","70.6","5684"
"232546","occ","","","14585","Potamornis skutchi","species","134353","Late Maastrichtian","","70.6","66","6735"
"247238","occ","","","24178","Sauroposeidon proteles","species","66617","Aptian","Albian","125","100.5","6837"
"248041","occ","13131","","14462","Dromaeosaurus albertensis","species","54550","Middle Campanian","Late Campanian","83.5","70.6","13591"
"248042","occ","13132","","14462","Saurornitholestes langstoni","species","54556","Middle Campanian","Late Campanian","83.5","70.6","13591"
"248043","occ","13133","","14462","Troodon formosus","species","54818","Middle Campanian","Late Campanian","83.5","70.6","13591"
"248060","occ","","","14437","Dromaeosaurus albertensis","species","54550","Middle Campanian","Late Campanian","83.5","70.6","13752"
"248061","occ","","","14437","Saurornitholestes langstoni","species","54556","Middle Campanian","Late Campanian","83.5","70.6","13752"
"248062","occ","","","14437","Troodon formosus","species","54818","Middle Campanian","Late Campanian","83.5","70.6","13752"
"248075","occ","19747","","14437","Avaceratops lammersi","species","55539","Middle Campanian","Late Campanian","83.5","70.6","25472"
"248594","occ","31474","","24258","Latirhinus uitstlani","species","251612","Late Campanian","","83.5","70.6","43677"
"255376","occ","12320","","24790","Anatotitan copei","species","53383","Maastrichtian","","72.1","66","12319"
"256118","occ","","","24851","Triceratops prorsus","species","63770","Maastrichtian","","72.1","66","6967"
"256195","occ","","","24862","Emausaurus ernsti","species","64406","Tenuicostatum","","183","182","6968"
"256216","occ","","","24864","Mamenchisaurus constructus","species","56460","Oxfordian","","163.5","157.3","24276"
"256434","occ","","","24877","Eoraptor lunensis","species","57454","Carnian","","237","228","6971"
"256435","occ","","","24877","Herrerasaurus ischigualastensis","species","55000","Carnian","","237","228","6971"
"256441","occ","12145","","24878","Herrerasaurus ischigualastensis","species","55000","Carnian","","237","228","12426"
"256525","occ","13614","","24888","Protohadros byrdi","species","64527","Middle Cenomanian","","99.6","93.5","6977"
"256539","occ","31786","","24893","Vagaceratops irvinensis","species","64731","Late Campanian","","83.5","70.6","6978"
"256575","occ","","","24897","Iguanodon mantelli","species","64506","Late Barremian","Early Aptian","130","122.46","6980"
"256590","occ","","","24899","Confuciusornis dui","species","67265","Late Barremian","Early Aptian","130","122.46","6983"
"256679","occ","12154","","24906","Mantellisaurus atherfieldensis","species","64255","Late Hauterivian","Early Aptian","136.4","122.46","6982"
"256680","occ","","","24905","Haestasaurus becklesii","species","67039","Late Berriasian","Valanginian","145","132.9","44406"
"256711","occ","","","24904","Wannanosaurus yansiensis","species","52840","Early Maastrichtian","","70.6","66","6987"
"259283","occ","","","25073","Agujaceratops mariscalensis","species","52772","Late Campanian","","83.5","70.6","7029"
"259315","occ","","","25074","Vorona berivotrensis","species","64129","Maastrichtian","","72.1","66","7030"
"259321","occ","13275","","25076","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"259322","occ","","","25077","Tenontosaurus tilletti","species","52887","Albian","","113","100.5","13525"
"259970","occ","","","25125","Dilophosaurus sinensis","species","68105","Hettangian","Sinemurian","201.3","190.8","7052"
"259972","occ","","","25126","Carcharodontosaurus saharicus","species","65364","Early Cenomanian","","99.6","93.5","7053"
"259976","occ","","","25127","Spinosaurus aegyptiacus","species","53372","Early Cenomanian","","99.6","93.5","7054"
"260021","occ","","","25137","Carcharodontosaurus saharicus","species","65364","Early Berriasian","Late Albian","145","99.6","7056"
"260025","occ","","","25139","Carcharodontosaurus saharicus","species","65364","Early Berriasian","Late Albian","145","99.6","7056"
"260040","occ","","","25147","Acrocanthosaurus atokensis","species","55482","Aptian","","125","113","7057"
"260041","occ","","","25148","Acrocanthosaurus atokensis","species","55482","Aptian","","125","113","7059"
"260042","occ","","","25149","Acrocanthosaurus atokensis","species","55482","Aptian","","125","113","7059"
"260589","occ","","","25192","Carcharodontosaurus saharicus","species","65364","Early Albian","Early Cenomanian","112.03","93.5","7056"
"260595","occ","","","25194","Carcharodontosaurus saharicus","species","65364","Aptian","","125","113","7056"
"260596","occ","","","25195","Carcharodontosaurus saharicus","species","65364","Albian","","113","100.5","7056"
"260598","occ","","","25197","Carcharodontosaurus saharicus","species","65364","Albian","","113","100.5","7056"
"260601","occ","","","25200","Carcharodontosaurus saharicus","species","65364","Early Albian","Early Cenomanian","112.03","93.5","30615"
"260828","occ","","","25219","Bahariasaurus ingens","species","66415","Early Albian","Early Cenomanian","112.03","93.5","45866"
"260830","occ","","","25219","Aegyptosaurus baharijensis","species","66662","Early Albian","Early Cenomanian","112.03","93.5","45866"
"260832","occ","","","25221","Bahariasaurus ingens","species","66415","Late Albian","Early Cenomanian","105.3","93.5","7056"
"260834","occ","","","25221","Carcharodontosaurus saharicus","species","65364","Late Albian","Early Cenomanian","105.3","93.5","45826"
"260836","occ","","","25221","Spinostropheus gautieri","species","63791","Late Albian","Early Cenomanian","105.3","93.5","7056"
"260838","occ","","","25221","Aegyptosaurus baharijensis","species","66662","Late Albian","Early Cenomanian","105.3","93.5","7056"
"260845","occ","","","25223","Aegyptosaurus baharijensis","species","66662","Early Berriasian","Late Valanginian","145","136.4","7056"
"260899","occ","28308","","25226","Spinostropheus gautieri","species","63791","Early Berriasian","Late Barremian","145","125.45","7056"
"260901","occ","","","25226","Carcharodontosaurus saharicus","species","65364","Early Berriasian","Late Barremian","145","125.45","7056"
"261810","occ","17808","","25298","Agnosphitys cromhallensis","species","53365","Rhaetian","","208.5","201.3","7095"
"261839","occ","30830","","25306","Segisaurus halli","species","55543","Pliensbachian","Toarcian","190.8","174.1","7096"
"261854","occ","","","25307","Saturnalia tupiniquim","species","68124","Carnian","Norian","237","208.5","7097"
"262165","occ","","","25325","Carcharodontosaurus saharicus","species","65364","Early Cenomanian","","99.6","93.5","7098"
"262166","occ","","","25325","Deltadromeus agilis","species","65367","Early Cenomanian","","99.6","93.5","7098"
"262167","occ","","","25325","Rebbachisaurus garasbae","species","65368","Early Cenomanian","","99.6","93.5","7098"
"262347","occ","","","25355","Carcharodontosaurus saharicus","species","65364","Early Berriasian","Early Cenomanian","145","93.5","7056"
"263353","occ","","","25428","Polacanthus foxii","species","52785","Late Barremian","Early Aptian","130","122.46","7123"
"263808","occ","","","25534","Carnotaurus sastrei","species","54526","Late Campanian","Early Maastrichtian","83.5","66","13927"
"266835","occ","18109","","25658","Orodromeus makelai","species","64338","Middle Campanian","","83.5","70.6","17718"
"276681","occ","13397","","26373","Lametasaurus indicus","species","57451","Maastrichtian","","72.1","66","7271"
"276682","occ","","","26373","Indosuchus raptorius","species","53958","Maastrichtian","","72.1","66","7271"
"276683","occ","","","26373","Indosaurus matleyi","species","54099","Maastrichtian","","72.1","66","7271"
"276687","occ","","","26373","Laevisuchus indicus","species","56390","Maastrichtian","","72.1","66","7271"
"276698","occ","","","26375","Titanosaurus indicus","species","54171","Maastrichtian","","72.1","66","19228"
"276699","occ","","","26375","Jainosaurus septentrionalis","species","57452","Maastrichtian","","72.1","66","7271"
